t,iq,id,vq,vd,ia,ib,va,vb,theta_e,omega,omega_obs,r,T_ass,S_pct,iq_ref
2.99,0.00516968094703755,-0.0143887725879156,8.71141268121434,-0.173343294634724,-0.00928707263797356,0.01214547897359,4.57772810370792,7.41371460259562,-0.573060155727731,993.868822090533,998.770127842365,999.948118454723,0.45,8.1737848655428,0.073524023547229
3,0.132124839974408,0.00521579450105794,8.47710696249663,-0.291117456889842,-0.0606588160644616,0.117493343999557,-4.43613501265222,7.22957799438086,0.516038044247862,1006.93686778903,995.980706168868,999.948118454723,0.45,8.1737848655428,0.132147829697843
3.01,-0.0827542268878218,-0.121813697966044,9.12191970914181,0.413589489157777,0.0813343419534443,-0.122766297895489,-9.1165029198155,0.519470844770875,1.55918565537928,995.994439519067,998.770102191378,999.948118454723,0.45,8.1737848655428,0.073524023547229
3.02,0.171253510119766,0.0442063347248775,8.30090300811084,-0.408131788956604,-0.115145171824958,-0.134251831136671,-3.29137692415213,-7.63140879853644,2.68527587033379,1003.91553074058,998.672409832206,999.948118454723,0.45,8.1737848655428,0.132147829697843
3.03,-0.0827364673269482,0.0930478775489016,8.76989006055356,-0.760137927485923,-0.123957695755832,0.0117354252161197,5.79695809271709,-6.62450437499143,-2.50917826921186,995.980706168868,998.727376212922,999.948118454723,0.45,8.1737848655428,0.0344414861134865
3.04,0.171224543068356,-0.00464687538348671,8.65296566389849,-0.290563932111927,0.170560238496099,0.0157684065127384,8.61577145989229,0.852481278478282,-1.50574013369792,1003.90027146258,998.672442812045,999.948118454723,0.45,8.1737848655428,0.181001001490023
3.05,0.0637709188525503,-0.0143941560149346,8.53555271472763,-0.173275830924248,0.0179086159780596,0.0628745043116144,3.93615459973987,7.57577531520196,-0.499479387439108,993.868822090544,998.770102191391,999.948118454723,0.45,8.1737848655428,0.0930652922641002
3.06,0.0344942475282392,0.00511785827934574,8.88730001952344,-0.407991796001947,-0.0147387612038646,0.0316040267067721,-5.23812685436474,7.191146362035,0.583666822276766,1003.88958996792,995.937980190417,999.948118454723,0.45,8.1737848655428,0.122377195339407
3.07,0.0930652922641002,0.0149060989341925,8.65289539422076,-0.407991565749686,-0.0937824586845813,0.00939099849393658,-8.61376721475678,-0.917643825801116,1.62981228620562,995.994439519073,998.770102191383,999.948118454723,0.45,8.1737848655428,0.122377195339407
3.08,0.0735476263296413,0.0636412759723349,8.71144292822796,-0.5249941549931,-0.0865009592221867,-0.0444640236568062,-2.76585827113703,-8.27737185213596,2.75891796288777,1000.8789344141,998.629716833556,999.948118454723,0.45,8.1737848655428,0.122377195339407
3.09,0.0832768983443617,-0.00460553219765007,7.94919032061993,-0.290705076324712,0.0575408708437867,-0.060376327374389,5.37925087846826,-5.85984608853654,-2.43548358316373,995.980706168868,998.727376212922,999.948118454723,0.45,8.1737848655428,0.0344414861134865
3.1,0.141758110737972,0.00514146106175806,8.77102288594864,-0.290705306575307,0.141107734437472,0.0145053046769969,8.64661499991461,1.5004669554367,-1.43210680877029,1003.90027146257,998.727376212922,999.948118454723,0.45,8.1737848655428,0.181001001490023
