t,iq,iq_ref,id,vq,vd,ia,ib,va,vb,theta_e,omega,r
49.788,-0.38385867960028,-0.187448290088551,0.0643670429841895,9.48808087449567,-0.0172164124164229,-0.0358486166731601,-0.387563515839171,2.40763934167288,9.17754040504622,-0.25837351315283,1013.76810586996,1000
49.789,-0.462306236056492,0.420396930526891,-0.0996690412652327,10.2913757758292,0.138693892544697,0.12717137198567,-0.455508963502074,-4.67150273265067,9.17108028391373,0.484593934731067,1013.3042728937,1000
49.79,-0.0232969043125621,0.857592936034889,-0.0906455395618629,10.4697165578011,0.154583618450831,-0.00859431236840501,-0.0931960159444823,-9.80594448131084,3.67182702822955,1.22727249034973,1013.08063007152,1000
49.791,0.266190336209933,0.975246793313692,0.0721157294191465,10.463571486381,-0.00298674501025105,-0.273293166160647,-0.0369975519609329,-9.63998474605693,-4.06903321036342,1.9699222608636,1013.19543914232,1000
49.792,0.316021633564453,0.701867335379971,0.296434344538245,10.2493143262581,-0.269577057722805,-0.401001842382472,-0.164135663121781,-4.01684297186571,-9.43324379457365,2.71273364183773,1013.49681902238,1000
49.793,0.425566254010476,0.157532950552232,0.149704609600402,9.61548483157438,-0.159846579929166,-0.0108571001343001,-0.450999146412487,3.12363836092311,-9.09538250243065,-2.82740403201441,1013.83621448744,1000
49.794,0.485342699057264,-0.451698956079453,0.218790310822359,8.81948177521051,-0.259557846350289,0.315368098662597,-0.428916889366545,7.81045813759466,-4.10455512080831,-2.08407276560559,1014.26699297106,1000
49.795,0.0251634840779517,-0.895179216454341,0.18548358926527,8.63886270946779,-0.269277767047796,0.0668456202933725,-0.174840000758588,8.34923146565036,2.23445594314441,-1.34046065782166,1014.51807542969,1000
49.796,-0.520756716237701,-1.00499003820011,0.0245532094044079,8.93041748344522,-0.139543360404616,-0.272377743614483,-0.444523095442985,4.90383152558994,7.4648687293674,-0.596849809776213,1014.25342839776,1000
49.797,-0.467795995885038,-0.73953296169224,-0.307385083184629,9.07694547156787,0.21931029927854,-0.235839455599943,-0.507640063738884,-1.1074510286844,9.01180272310995,0.14643243567795,1013.72476276787,1000
49.798,-0.156555825319539,-0.199298740171842,-0.16125948068622,9.27491944026684,0.135360740024987,0.0200231508393309,-0.223860268880248,-7.11854000421687,5.94717087040081,0.889404517188603,1013.43792520816,1000
49.799,-0.213609590688678,0.411163558569318,0.0818424190562715,9.99146135647448,-0.100441893841856,0.208180120368563,0.0948065202108866,-9.96643282865343,-0.713866432815474,1.63224885037125,1013.30892377883,1000
49.8,0.00182444555538441,0.860689396556501,-0.188487102046714,10.387000693256,0.181796029902063,0.134493623809036,-0.132068850961406,-7.33647274637171,-7.35520229768923,2.37496980794215,1013.15863964069,1000
49.801,0.323218009734011,0.962761165715517,0.0379938400289606,10.3202874105259,-0.024961941712506,0.00291900982264454,0.325430319850835,-1.137675157446,10.257419293883,0.108042224329864,1013.30968190477,1000
49.802,0.482474539569007,0.70508804522521,0.245556705084201,9.99505872189289,-0.262271261478363,-0.200891481564981,0.502715018055718,-7.68830607341895,6.39217762504404,0.850956822095058,1013.6723541498,1000
49.803,0.136805877155313,0.168959985386176,0.17004864568073,9.83272236792036,-0.254338958790928,-0.140739232248512,0.166807848820685,-9.82410262155914,-0.48386480718794,1.59414856377844,1013.97341395288,1000
49.804,0.247858783664835,-0.44258521185542,-0.0328114678300581,9.04140995640134,-0.0559791128038301,-0.155747227124664,-0.195584688316732,-6.47287830943094,-6.31284991521912,2.33748763513396,1014.16177744009,1000
49.805,0.041562586983774,-0.897923288509598,0.0082260427812859,8.61933158081399,-0.0997704409912259,-0.0107290577172845,-0.0409878486520396,-0.422626905135719,-8.60954223753902,3.08096915044728,1014.31311517307,1000
49.806,-0.455466645710586,-1.02457311151748,0.0213017588376399,8.83481587088977,-0.120779814609122,-0.303929521555018,0.339897743757983,5.66855803678317,-6.77761086370144,-2.45873777062766,1014.09689218286,1000
49.807,-0.660689011408848,-0.774540097623929,-0.227076474919861,9.22900194751781,0.143932032035396,-0.621012335800144,0.32002714578998,9.11166583008121,-1.47402143066644,-1.71558548575991,1013.48489329776,1000
49.808,-0.214358347580697,-0.242515525451959,-0.303307489762904,9.30321820118388,0.281312960501221,-0.347911808549104,0.130008876604224,7.84740537371721,5.00472124909461,-0.972848448458012,1013.06513598302,1000
49.809,0.149837135421521,0.369973713881285,-0.0842646949851537,9.56878001602026,0.10548843478346,-0.0478432806814184,0.165114283046341,2.28659301261124,9.29215643430195,-0.230259963343794,1013.05663324502,1000
49.81,0.0514427585261225,0.830896056273131,-0.00431421033252984,10.2392885084085,0.0218287070978909,-0.0289799976560067,0.0427215349844561,-5.00078523132574,8.9350798944964,0.512376513692587,1013.11995957421,1000
49.811,0.313435639710907,0.939910556807697,-0.106981572688813,10.2343662030835,0.146680627167385,-0.33116139779493,-0.00436872366549976,-9.68293822493459,3.3172992203456,1.25506723943903,1013.26619550179,1000
49.812,0.514227942008496,0.697368682863281,0.172774222867865,9.87581432526716,-0.135641505288835,-0.539600922902529,-0.055786668950806,-8.93225275418486,-4.21485087997974,1.99795288754901,1013.64066240667,1000
49.813,0.321445757497906,0.169436544807641,0.397892403881345,9.53184063639869,-0.426463345494131,-0.491721307943759,-0.140910948453117,-3.32296060614425,-8.94403654469082,2.74115823387095,1014.0904938267,1000
49.814,-0.127876395417863,-0.443866346697271,0.137104262613984,9.33278001359855,-0.229806857602903,-0.172122271512273,0.0743227756575687,3.35489818815289,-8.71196029152764,-2.79862314063746,1014.13385850682,1000
49.815,-0.132059598050447,-0.910150361162375,-0.00275148597354562,8.7529200999649,-0.0959770295808945,-0.115581275219425,0.0639396350549466,7.79037097269783,-3.99160894556615,-2.05526134941347,1014.03841950877,1000
49.816,-0.416000831020657,-1.05271265894208,0.00719549772468206,8.74194518451314,-0.113845773047349,-0.40030629288135,-0.113416658727783,8.421697790058,2.3472479208651,-1.31200241324298,1013.80891002977,1000
49.817,-0.794847560529446,-0.817508136581829,-0.114110946146495,9.28767693061169,0.0130700028725987,-0.524416501118808,-0.608104666866129,5.01549024168693,7.81703084476036,-0.569047744368044,1013.18772843273,1000
