t,iq,id,vq,vd,ia,ib,va,vb,theta_e,omega,r
1.03,-0.258706875994814,0.00822152000613719,37.2823553223749,-0.48882619764689,-0.00245781642352015,-0.258825810568876,1.0495849549389,37.2707840118462,-0.0412643348514396,3272.30113476984,3306.45
1.04,-0.316605852245226,0.053418771425635,40.2229883450653,-2.6538244605801,-0.273279685181816,-0.168555760754349,36.272732545406,17.5846651763483,-1.1852727479337,3272.67318687281,3306.45
1.05,-0.204996800422596,0.000222190319876109,34.6607997147557,-0.0771628648848398,-0.149107600761163,0.140679284001908,25.2382732931782,-23.7572420990521,-2.32820202382614,3272.6884695653,3306.45
1.06,-0.348022232538757,-0.00820820978378155,41.803858610453,0.425105649390719,0.119523199005147,0.326957266242381,-13.8257787552918,-39.4536582758255,2.81470276307564,3273.38352303147,3306.45
1.07,-0.236245854127084,0.00993235534128636,36.1760206458217,-0.56253008560985,0.23382404363064,0.035172032853924,-35.9077955536998,-4.43295932056988,1.67808021917088,3273.69340940782,3306.45
1.08,-0.341200652106613,0.0703142235033192,41.460474423173,-3.50623329175141,0.0577730189866222,0.34354658097851,-11.7174533034154,-39.924502493745,2.77175137903038,3274.00795994785,3306.45
1.09,-0.281131013240561,0.0125506544837873,38.4971378207414,-0.693920711282615,0.27963091266565,0.0316025033092514,-38.3612686451103,-3.30517991649189,1.63872006600399,3274.12066577732,3306.45
1.1,-0.292389960146156,0.00590419346877341,39.0690911592388,-0.307012478959122,0.147278372696988,-0.252657533492501,-19.2581590101326,33.9942855817209,0.507573634118285,3274.56723266545,3306.45
1.11,-0.292080396818233,0.0544166986296353,39.0072167230634,-2.7843331860386,-0.125568004532782,-0.269267175000779,20.4167397363462,33.3537435126736,-0.62054809548022,3274.87315927559,3306.45
1.12,-0.318838668934239,0.00148983158990486,40.416512765575,-0.129841481152047,-0.314181643330074,0.0543158485189889,39.8158560602475,-6.94326789989909,-1.74665728825248,3275.13633099466,3306.45
1.13,-0.20580952068289,0.0110594501922444,34.6853060733943,-0.59497623338057,-0.0659012936867038,0.195286686009811,9.8841058465175,-33.2525022477733,-2.8698181099542,3275.55559590789,3306.45
1.14,-0.316977189063479,-0.0214454835347788,40.2814998770557,0.972893868491052,0.252079335562137,0.193366118369213,-30.8762666806992,-25.8882581624746,2.29269536202157,3275.83156470775,3306.45
1.15,-0.263304287575544,0.00305303474890508,37.6247667985377,-0.193907823344245,-0.0706182134563565,0.253676046967535,9.8567485174192,-36.3112267150623,-2.88168182469772,3275.97906715151,3306.45
1.16,-0.317784364044049,0.00637834246030172,40.376450388684,-0.456825320341219,0.236151281389065,0.212744347943075,-30.2358097021202,-26.763076187545,2.28402969923617,3276.38787997493,3306.45
1.17,-0.241934442102609,0.0015711929040915,36.4778917268521,-0.10798748146587,0.223405715662533,-0.0928688813971279,-33.6339511425846,14.1211039465876,1.17033829569282,3276.88581508203,3306.45
1.18,-0.364492035465509,-0.0780776825103152,42.6765995458625,3.76110105692437,-0.0565264448611726,-0.36844990087572,1.24706740966138,42.8238584533677,0.058790550455057,3276.98507302383,3306.45
1.19,-0.254281770301692,0.0418806742342843,37.1574298316078,-2.11786158194008,-0.19990530226031,-0.162637879075862,31.1991444277467,20.2921984109095,-1.05106915805212,3277.22189481568,3306.45
1.2,-0.370678588852724,-0.0339528203961715,43.0832498389138,1.55039820920436,-0.289311220571891,0.234210221591425,34.9574400283586,-25.2298937364603,-2.15998836164239,3277.32124607183,3306.45
1.21,-0.212403254462584,-0.00288455840565218,35.1233070281584,0.137880201529122,-0.184586156175235,-0.105125706332679,30.351621695198,17.6761072642095,-1.03950961139528,3277.89647758627,3306.45
1.22,-0.321657120967943,-0.0505756663762774,40.6030547325307,2.38961832693609,-0.24296540615979,0.216769492568486,32.833814250122,-24.005394625996,-2.14331771518118,3278.03836241905,3306.45
1.23,-0.270891934911597,0.0146284704480057,37.9625189164144,-0.737031419768573,0.0134043623214568,0.270955264976623,-3.18445124514887,-37.8358999900903,3.0382134642037,3278.68308327921,3306.45
1.24,-0.277949411411515,-0.013531993040501,38.32407118115,0.543909578927401,0.264111805300666,0.0876581110934923,-35.9392055391775,-13.3193008352786,1.9399009734293,3278.88504215391,3306.45
1.25,-0.268936823474064,-0.0225935976888331,37.8306557494549,1.13562699857365,0.185986660751109,-0.195566990311495,-27.5193382472869,25.9833443872236,0.844108691414757,3279.21095624858,3306.45
1.26,-0.299951021794072,-0.00657264903088146,39.4093633034394,0.197323238791875,-0.0806423191929165,-0.288982060941123,9.94978906627352,38.1331686328281,-0.25022466963563,3279.39108387594,3306.45
1.27,-0.305592061847216,0.00440971303197137,39.7273455968407,-0.212434255777835,0.239371170433015,-0.19001946373618,-30.8901476610942,24.9821114792094,0.885401272493714,3279.75467120888,3306.45
1.28,-0.252513452180663,0.0146436534094508,36.9122100836366,-0.850954977819335,-0.036742498981106,-0.250254807917841,6.63396572401858,36.3211491614093,-0.203705525499185,3280.34698614085,3306.45
1.29,-0.295665192901037,-0.0127226701847737,38.9860990109178,0.653679052824444,-0.287496605238325,-0.0701817255863419,37.6236369741983,10.2374388021091,-1.2883616423971,3280.98642779687,3306.45
1.3,-0.304292428747154,-0.0143486844071182,39.4914731889471,0.603057647370023,-0.201721226848098,0.22827245470261,27.082849083371,-28.748207225612,-2.37074478301879,3280.91337387521,3306.45
1.31,-0.308086417966432,0.0778783878828785,39.7036668055554,-3.87764305205704,0.0200170618415373,0.317146025467536,-8.44358293303511,-38.9887571063593,2.83096569161552,3281.27164711287,3306.45
1.32,-0.232913762950424,-0.0325234750971621,35.9818781513347,1.53467513993649,0.234976658973578,0.00962118193033853,-35.676957555861,-4.91990677146735,1.75045904051763,3281.2447730076,3306.45
1.33,-0.286866084417543,0.00945389739094368,38.5970567871835,-0.447982670112561,0.186164360095004,-0.218459052445417,-24.4034718931643,29.9065885828746,0.672808939627753,3281.95785983669,3306.45
1.34,-0.249681238230215,0.00782699148090785,36.8200320743203,-0.473095942117408,0.239714086944486,0.0702790085316158,-35.5212494331892,-9.70460820587737,1.82464547074192,3281.79296180088,3306.45
1.35,-0.366610017041201,0.0316628947960604,42.6876094191311,-1.57252874387725,0.2731173281911,-0.246601639377298,-30.2547761555001,30.1554864718046,0.750220341012469,3282.1026440286,3306.45
1.36,-0.215920171088134,0.0122928469513727,35.0918746432946,-0.676207691049295,-0.056873518379271,-0.20865770361063,10.4965434653222,33.492081125286,-0.322975244568582,3282.33422343905,3306.45
1.37,-0.364726999774389,0.0590182082459921,42.5669138283978,-2.98540311160513,-0.34858592781185,-0.122461357989146,41.3718553230804,10.4510464423009,-1.39338008831553,3282.63269727312,3306.45
1.38,-0.253655212064509,-0.0119431062859773,36.9874382964351,0.548616580719473,-0.149825073017971,0.205026954058263,22.7761330951412,-29.1482303599661,-2.4634713619013,3282.88154130172,3306.45
1.39,-0.309604829547018,0.0021489381629585,39.8066949684852,-0.230092460654143,0.115396911188645,0.287303535136946,-14.8796323030555,-36.9218424429272,2.75271954273073,3283.26322620085,3306.45
1.4,-0.222721738478355,-0.00311193773347122,35.4240774860373,0.12833253491193,-0.153579292303616,0.161332135431223,24.6889004476313,-25.4035416755862,-2.36683723759232,3283.44160407374,3306.45
1.41,-0.369929344807123,-0.00356465722176706,42.8835013319188,0.029580860060637,0.109038664016341,0.353512371325344,-12.2724662177023,-41.0899274086402,2.8520432100616,3283.4871483573,3306.45
1.42,-0.288101481798912,0.0170617850985098,38.7259009492583,-0.873322155649118,0.277509819876249,0.0792582374124494,-37.6107776842224,-9.26755080413992,1.78984274250689,3283.79083176568,3306.45
